uid,LOANFLAG8,LOANFLAG9,LOANFLAG10,LOANFLAG11
100,0,1,1,1
1000,1,1,1,1
10000,1,1,1,1
10001,0,0,1,1
10003,1,1,1,1
10004,0,1,1,1
10006,0,0,1,1
10009,1,1,1,1
1001,0,1,1,1
10011,0,0,1,1
10012,1,1,1,1
10013,0,0,0,1
10014,1,1,1,1
10017,0,1,1,1
10024,0,0,0,1
10026,0,0,1,1
10027,0,1,1,1
1003,0,1,1,1
10033,0,0,0,1
10034,0,1,1,1
10036,0,0,0,1
10038,0,0,1,1
1004,0,0,1,1
10040,0,0,0,1
10041,1,1,1,1
10043,1,1,1,1
10044,1,1,1,1
10045,1,1,1,1
10046,0,1,1,1
10048,1,1,1,1
10049,0,0,0,1
1005,1,1,1,1
10050,1,1,1,1
10051,1,1,1,1
10054,0,1,1,1
10057,1,1,1,1
10058,1,1,1,1
10059,0,0,0,1
10060,0,0,0,1
10061,0,1,1,1
10066,0,0,0,1
10070,1,1,1,1
10071,1,1,1,1
10074,0,1,1,1
10076,1,1,1,1
1008,0,0,0,1
10082,1,1,1,1
10086,0,0,0,1
10090,0,1,1,1
10091,1,1,1,1
10094,0,0,1,1
10095,0,0,1,1
10097,0,0,0,1
10100,1,1,1,1
10105,1,1,1,1
10106,1,1,1,1
10107,1,1,1,1
1011,1,1,1,1
10114,1,1,1,1
10116,0,1,1,1
10117,1,1,1,1
10119,0,1,1,1
10121,1,1,1,1
10124,1,1,1,1
10128,1,1,1,1
10132,0,1,1,1
10134,0,0,1,1
10136,1,1,1,1
10138,1,1,1,1
10140,0,1,1,1
10141,0,0,1,1
10147,0,0,0,1
10148,1,1,1,1
10149,1,1,1,1
10150,0,0,1,1
10152,0,0,0,1
10153,1,1,1,1
10157,0,0,1,1
10161,1,1,1,1
10164,0,0,1,1
10165,0,1,1,1
10166,0,0,0,1
10167,1,1,1,1
10169,1,1,1,1
1017,0,0,0,1
10170,0,1,1,1
10172,1,1,1,1
10175,1,1,1,1
10176,0,1,1,1
10178,0,1,1,1
10181,0,0,0,1
10183,0,1,1,1
10187,0,0,1,1
10191,1,1,1,1
10192,0,0,1,1
10193,1,1,1,1
10194,1,1,1,1
10196,0,0,0,1
10197,1,1,1,1
1020,0,0,1,1
10203,0,1,1,1
10205,0,0,0,1
10206,0,1,1,1
10207,1,1,1,1
10213,0,0,1,1
10214,0,0,0,1
10216,1,1,1,1
1022,1,1,1,1
10222,1,1,1,1
10227,1,1,1,1
1023,1,1,1,1
10231,0,1,1,1
10235,0,1,1,1
10237,0,1,1,1
10239,1,1,1,1
10241,1,1,1,1
10244,1,1,1,1
10248,0,0,0,1
10249,0,0,1,1
10250,1,1,1,1
10251,0,0,1,1
10253,1,1,1,1
10256,1,1,1,1
10258,0,0,1,1
10260,0,1,1,1
10261,1,1,1,1
10263,0,0,0,1
10265,0,1,1,1
1027,0,1,1,1
10277,1,1,1,1
10279,0,0,1,1
1028,1,1,1,1
10283,0,1,1,1
10284,0,0,0,1
10285,0,0,1,1
10286,1,1,1,1
10287,0,1,1,1
10288,0,0,1,1
10295,1,1,1,1
10298,0,0,1,1
103,0,0,1,1
1030,0,1,1,1
10302,1,1,1,1
10305,0,1,1,1
10307,0,0,0,1
10311,0,0,0,1
10312,1,1,1,1
10316,1,1,1,1
1032,1,1,1,1
10320,0,1,1,1
10321,1,1,1,1
10322,0,0,1,1
10324,1,1,1,1
10327,0,0,1,1
10328,1,1,1,1
10333,0,1,1,1
10335,0,1,1,1
10336,1,1,1,1
10337,1,1,1,1
10339,0,0,0,1
10340,1,1,1,1
10341,0,0,0,1
10343,1,1,1,1
10344,1,1,1,1
10346,0,0,1,1
10350,1,1,1,1
10352,1,1,1,1
10355,1,1,1,1
10357,0,0,0,1
10358,0,1,1,1
10359,0,1,1,1
1036,1,1,1,1
10361,1,1,1,1
10363,1,1,1,1
10367,0,0,0,1
10370,1,1,1,1
10371,0,0,0,1
10373,1,1,1,1
10375,1,1,1,1
10376,0,1,1,1
10377,0,1,1,1
10379,1,1,1,1
10380,0,0,1,1
10381,0,0,1,1
10384,1,1,1,1
10385,0,1,1,1
10386,1,1,1,1
10387,0,0,0,1
10389,1,1,1,1
10392,1,1,1,1
10393,0,0,1,1
10397,0,1,1,1
10398,1,1,1,1
10399,0,1,1,1
104,0,1,1,1
1040,0,0,1,1
10401,1,1,1,1
10403,1,1,1,1
10406,0,1,1,1
10414,1,1,1,1
10415,0,0,1,1
10416,1,1,1,1
10419,0,1,1,1
10423,0,0,0,1
10424,1,1,1,1
10426,0,0,0,1
10428,1,1,1,1
10430,1,1,1,1
10433,1,1,1,1
10437,0,1,1,1
10438,0,0,1,1
10439,1,1,1,1
1044,1,1,1,1
10441,1,1,1,1
10442,0,0,0,1
10443,0,1,1,1
10444,1,1,1,1
10449,0,0,0,1
1045,1,1,1,1
10452,1,1,1,1
10456,0,1,1,1
10457,0,0,0,1
10458,1,1,1,1
1046,1,1,1,1
10461,0,0,0,1
10462,0,1,1,1
10463,1,1,1,1
10464,0,1,1,1
10465,1,1,1,1
10468,1,1,1,1
10473,1,1,1,1
10474,0,0,0,1
10475,1,1,1,1
10476,0,1,1,1
1048,0,1,1,1
10482,0,0,1,1
10485,1,1,1,1
10488,0,0,0,1
10490,0,0,0,1
10491,1,1,1,1
10492,1,1,1,1
10495,0,1,1,1
10497,0,0,0,1
1050,1,1,1,1
10503,0,0,1,1
10504,1,1,1,1
10505,0,1,1,1
10509,0,0,0,1
10511,1,1,1,1
10512,0,0,1,1
10513,0,1,1,1
10516,1,1,1,1
10519,0,0,1,1
1052,0,1,1,1
10522,1,1,1,1
10525,0,1,1,1
10527,0,0,1,1
1053,0,1,1,1
10530,0,1,1,1
10531,1,1,1,1
10533,0,1,1,1
10535,0,0,0,1
10536,1,1,1,1
10537,1,1,1,1
10539,0,0,1,1
10541,1,1,1,1
10543,0,1,1,1
10551,0,1,1,1
10554,0,1,1,1
10555,0,0,1,1
10558,0,0,0,1
1056,0,0,1,1
